"text;label"
"""Kau tidak tahu etika, seperti babi yang liar."";1"
"""Dia berlari seperti babi yang ketakutan."";1"
"""Babi, apa kamu tidak malu berbuat seperti itu?"";1"
"""Kamu tidak pantas diperlakukan dengan hormat, babi!"";1"
"""Dia berlagak pintar, padahal dia hanya babi."";1"
"""Kamu berbicara seperti babi yang tidak tahu sopan santun."";1"
"""Aku tidak mau berurusan dengan babi sepertimu."";1"
"""Babi! Keberadaanmu tidak berarti apa-apa."";1"
"""Kau hanya membuang waktu, seperti babi yang tidak berguna."";1"
"""Dia lebih baik pergi, agar tidak jadi babi di sini."";1"
"""Babi! Kenapa kamu selalu mengganggu ketenangan orang lain?"";1"
"""Kamu membuatku muak, babi!"";1"
"""Sikapmu seperti babi yang tidak tahu diri."";1"
"""Babi, semua orang menertawakanmu."";1"
"""Kau lebih baik diam, babi!"";1"
"""Dia selalu mengeluh, seperti babi yang tidak puas."""
"""Kamu tidak akan pernah bisa menjadi lebih baik dari babi."";1"
"""Babi! Tingkahmu sangat memalukan."";1"
"""Kau ini babi yang terus berbuat salah."";1"
"""Berhenti menjadi babi yang selalu mencari perhatian."";1"
"""Kamu tidak layak untuk dihormati, babi!"";1"
"""Sikapmu yang seperti babi sangat menjengkelkan."";1"
"""Babi, apa kamu tidak punya rasa tanggung jawab?"";1"
"""Kamu memang tidak lebih dari sekadar babi yang merusak."";1"
"""Berhenti bersikap bodoh, seperti babi."";1"
"""Kau ini memang babi yang egois."";1"
"""Babi! Apa kamu tidak tahu batasan?"";1"
"""Kamu sudah mengecewakan semua orang, babi."";1"
"""Tingkahmu sangat menjengkelkan, seperti babi yang tidak bisa dikendalikan."";1"
"""Kau tidak bisa dipercaya, seperti babi yang tidak jujur."";1"
"""Babi! Kamu tidak tahu cara bersyukur."";1"
"""Kamu tidak punya rasa malu, seperti babi."";1"
"""Dia selalu mencari alasan, seperti babi yang tidak bertanggung jawab."";1"
"""Kau ini babi yang sangat berisik."";1"
"""Babi, tinggalkan tempat ini!"";1"
"""Kamu hanya menciptakan masalah, seperti babi."";1"
"""Berhenti bersikap seolah-olah kamu bukan babi."";1"
"""Kau tidak lebih baik dari babi yang berkeliaran."";1"
"""Babi! Kamu mengganggu ketenangan ini."";1"
"""Kamu sudah membuat semua orang kesal, babi."";1"
"""Sikapmu sangat menjijikkan, seperti babi."";1"
"""Kau tidak akan pernah jadi lebih baik dari babi."";1"
"""Babi! Apa kamu tidak merasa malu?"";1"
"""Kamu tidak bisa bersikap sopan, seperti babi."";1"
"""Babi, kamu selalu mencari perhatian dengan cara yang salah."";1"
"""Kau lebih baik pergi jauh-jauh, seperti babi."";1"
"""Sikapmu tidak bisa diterima, seperti babi yang tidak berpendidikan."";1"
"""Kamu membuatku kecewa, babi!"";1"
"""Babi! Berhenti berlagak seolah kamu tahu segalanya."";1"
"""Kau memang tidak berguna, seperti babi yang tidak bisa berkontribusi."";1"
"""Babi, kamu tidak pantas mendapatkan kepercayaan siapa pun."";1"
"""Babi adalah salah satu hewan yang sangat cerdas."";0"
"""Di beberapa budaya, daging babi adalah makanan yang sangat dihargai."";0"
"""Babi dapat menjadi hewan peliharaan yang menggemaskan."";0"
"""Ternak babi memberikan kontribusi besar pada perekonomian peternakan."";0"
"""Beberapa jenis babi dapat dikenali dari warna dan pola kulitnya."";0"
"""Babi memiliki indra penciuman yang sangat baik."";0"
"""Di banyak tempat, ada festival yang merayakan babi."";0"
"""Mempelajari tentang babi bisa sangat menarik."";0"
"""Babi sering digunakan dalam penelitian ilmiah karena kesamaan genetiknya dengan manusia."";0"
"""Di peternakan, babi sering ditempatkan dalam kandang yang nyaman."";0"
"""Ada berbagai resep yang menggunakan daging babi sebagai bahan utama."";0"
"""Saus babi adalah hidangan favorit di banyak restoran."";0"
"""Babi peliharaan bisa menjadi teman yang baik bagi anak-anak."";0"
"""Babi dikenal sebagai hewan yang mudah dilatih."";0"
"""Mengunjungi peternakan babi bisa menjadi pengalaman belajar yang menyenangkan."";0"
"""Beberapa jenis babi, seperti babi mini, sangat populer sebagai hewan peliharaan."";0"
"""Babi memiliki kebiasaan sosial yang menarik."";0"
"""Rasa daging babi bisa sangat lezat ketika dimasak dengan cara yang tepat."";0"
"""Kita bisa belajar banyak dari perilaku babi dalam kelompok."";0"
"""Babi adalah bagian penting dari ekosistem pertanian."";0"
"""Daging babi sering digunakan dalam masakan tradisional di berbagai daerah."";0"
"""Babi bisa menjadi sumber protein yang baik."";0"
"""Makanan yang terbuat dari babi, seperti sosis, sangat populer di banyak negara."";0"
"""Babi merupakan simbol keberuntungan di beberapa kebudayaan."";0"
"""Babi memiliki kemampuan beradaptasi yang luar biasa."";0"
"""Di beberapa negara, peternakan babi dikelola secara berkelanjutan."";0"
"""Babi sering menjadi objek penelitian dalam bidang biomedis."";0"
"""Babi bisa diandalkan untuk membantu mengolah limbah organik."";0"
"""Mempelajari nutrisi babi dapat membantu peternak meningkatkan hasil panen."";0"
"""Ada berbagai jenis pakan yang cocok untuk babi."";0"
"""Babi dapat dibesarkan dengan berbagai metode, tergantung pada tujuan peternakan."";0"
"""Di banyak negara, babi dianggap sebagai sumber pendapatan penting bagi peternak."";0"
"""Beberapa orang memilih untuk tidak mengonsumsi daging babi karena alasan diet atau agama."";0"
"""Babi memiliki kebutuhan ruang yang cukup untuk bergerak dengan nyaman."";0"
"""Kesejahteraan babi menjadi perhatian utama dalam industri peternakan."";0"
"""Babi hutan adalah spesies liar yang menarik untuk dipelajari."";0"
"""Masyarakat sering mengadakan acara untuk merayakan panen babi."";0"
"""Babi sering digambarkan dalam cerita rakyat dan mitologi."";0"
"""Kebersihan kandang babi sangat penting untuk menjaga kesehatan hewan."";0"
"""Babi dapat membantu mengendalikan populasi serangga di kebun."";0"
"""Pengolahan daging babi membutuhkan keterampilan dan pengetahuan khusus."";0"
"""Babi bisa menjadi hewan yang sangat bersahabat dan mudah berinteraksi."";0"
"""Babi memiliki kepribadian yang unik, mirip dengan anjing."";0"
"""Makanan tradisional yang terbuat dari babi sering disajikan pada acara-acara khusus."";0"
"""Babi sangat pandai beradaptasi dengan lingkungan barunya."";0"
"""Pendidikan tentang babi dapat membantu meningkatkan pemahaman masyarakat tentang peternakan."";0"
"""Pemandangan babi berlari di ladang adalah hal yang menyenangkan."";0"
"""Babi dapat menjadi indikator kesehatan lingkungan di suatu daerah."";0"
"""Memelihara babi dapat menjadi hobi yang menyenangkan bagi banyak orang."";0"
"""Babi sering diikutsertakan dalam pameran hewan ternak."";0"
"""Daging babi yang dimasak dengan bumbu yang tepat bisa sangat menggugah selera."";0"
"""Babi memiliki pola makan yang beragam, tergantung pada jenis pakan yang diberikan."";0"
"""Pengelolaan peternakan babi yang baik dapat meningkatkan produktivitas."";0"
"""Masyarakat lokal sering terlibat dalam perawatan babi."";0"
"""Babi dapat membantu dalam kegiatan pertanian, seperti membajak tanah."";0"
"""Babi yang sehat menunjukkan pertumbuhan yang baik."";0"
"""Pendidikan tentang babi juga mencakup aspek pemeliharaan yang etis."";0"
"""Babi sering kali menjadi simbol kesuburan dalam berbagai budaya."";0"
"""Kesehatan babi harus diperhatikan untuk memastikan kualitas daging yang dihasilkan."";0"
"""Babi dikenal memiliki tingkat kecerdasan yang tinggi."";0"
"""Beberapa jenis babi dapat hidup dalam iklim yang keras."";0"
"""Pelatihan yang tepat dapat membantu babi beradaptasi dengan kehidupan manusia."";0"
"""Babi yang dirawat dengan baik dapat memberikan hasil yang maksimal bagi peternak."";0"
"""Seni memasak dengan daging babi telah menjadi bagian dari banyak budaya."";0"
"""Babi dapat dikenali dari suara dan cara mereka berinteraksi."";0"
"""Makanan berbahan dasar babi menjadi bagian dari warisan kuliner suatu daerah."";0"
"""Babi dapat berkontribusi pada pengurangan limbah makanan."";0"
"""Membesarkan babi secara organik menjadi semakin populer."";0"
"""Di beberapa tempat, babi diolah menjadi produk olahan yang berkualitas."";0"
"""Babi yang sehat berkontribusi pada ekonomi lokal."";0"
"""Babi sering menjadi bagian dari perayaan tradisional."";0"
"""Mempelajari perilaku babi dapat memberi wawasan tentang kehidupan sosial mereka."";0"
"""Daging babi yang difermentasi menjadi produk yang populer di berbagai negara."";0"
"""Babi memiliki peran penting dalam rantai makanan di ekosistem pertanian."";0"
"""Kegiatan peternakan babi sering melibatkan keluarga secara keseluruhan."";0"
"""Babi bisa menjadi hewan yang penuh kasih jika dirawat dengan baik."";0"
"""Kepedulian terhadap kesejahteraan babi semakin meningkat di kalangan masyarakat."";0"
"""Babi dapat membantu dalam menjaga keseimbangan ekosistem."";0"
"""Babi sering diikutkan dalam penelitian untuk mengembangkan vaksin baru."";0"
"""Perawatan kesehatan yang baik akan menghasilkan babi yang berkualitas."";0"
"""Beberapa resep tradisional mengandalkan daging babi sebagai bahan utama."";0"
"""Mempelajari tentang berbagai ras babi bisa menjadi pengalaman yang menarik."";0"
"""Babi sering menjadi bagian dari tradisi kuliner saat perayaan."";0"
"""Pengelolaan peternakan babi yang berkelanjutan menjadi fokus banyak peternak."";0"
"""Babi memiliki kemampuan untuk belajar dari lingkungan sekitar."";0"
"""Penggunaan teknologi dalam peternakan babi dapat meningkatkan efisiensi."";0"
"""Kegiatan berinteraksi dengan babi dapat memberikan terapi yang menyenangkan."";0"
"""Babi dapat dijadikan bagian dari program edukasi tentang peternakan."";0"
"""Dalam banyak budaya, babi melambangkan kemakmuran."";0"
"""Babi memiliki suara yang khas dan mudah dikenali."";0"
"""Mempelajari cara merawat babi dapat memberikan keuntungan bagi peternak."";0"
"""Babi sering dijadikan bahan baku untuk produk-produk lokal."";0"
"""Penting untuk memberikan pakan yang berkualitas bagi babi."";0"
"""Babi dapat menjadi bagian dari wisata peternakan yang menarik."";0"
"""Keberadaan babi dalam ekosistem dapat membantu meningkatkan kesuburan tanah."";0"
"""Babi dapat menjadi subjek menarik dalam fotografi hewan."";0"
"""Babi yang bahagia menunjukkan perilaku yang aktif dan sehat."";0"
"""Ada banyak jenis babi yang dapat ditemukan di seluruh dunia."";0"
"""Babi sering kali menjadi objek penelitian dalam bidang pertanian."";0"
"""Perawatan kesehatan yang baik akan menghasilkan babi yang berkualitas."";0"
"""Kamu terlihat seperti babi yang baru bangun tidur."";1"
"""Jangan jadi babi yang merusak suasana."";1"
"""Dia berbicara tanpa berpikir, seperti babi yang berteriak."";1"
"""Dia memperlakukan orang lain seperti babi di pasar."";1"
"""Rasa malasnya seperti babi yang tidak ingin bergerak."";1"
"""Kamu seharusnya malu, bertindak seperti babi di depan umum."";1"
"""Tindakanmu menunjukkan bahwa kamu tidak lebih baik dari babi."";1"
"""Setiap kali kamu berbicara, aku teringat pada babi yang mengeluarkan suara aneh."";1"
"""Kamu tidak layak mendapatkan perhatian, seperti babi yang hanya mengganggu."";1"
"""Kamu bersikap sangat egois, sama seperti babi yang hanya memikirkan diri sendiri."";1"
"""Makan dengan cara seperti itu hanya menunjukkan kamu mirip babi."";1"
"""Jangan mengeluh, karena kamu tidak lebih baik dari babi yang merugikan orang lain."";1"
"""Dia menjalani hidupnya seperti babi di dalam lumpur."";1"
"""Kamu berbicara dengan cara yang membuatku merasa seperti berhadapan dengan babi."";1"
"""Kamu lebih baik berhenti, sebelum terlihat seperti babi di depan banyak orang."";1"
"""Setiap kali kamu buka mulut, aku merasa seperti sedang berbicara dengan babi."";1"
"""Kelakuanmu sangat buruk, seperti babi yang mengganggu semua orang."";1"
"""Dia berlari-lari seperti babi yang sedang ketakutan."";1"
"""Kamu terlalu egois, sama seperti babi yang hanya peduli pada makanannya."";1"
"""Tingkah laku seperti itu hanya menunjukkan bahwa kamu tidak lebih berharga daripada babi."";1"
"""Kamu membuat keputusan yang bodoh, seperti babi yang tersesat."";1"
"""Hidupmu penuh dengan kebisingan, seperti babi yang berisik di pagi hari."";1"
"""Kamu tidak punya etika, seperti babi yang tidak tahu cara bersosialisasi."";1"
"""Sikapmu sangat menjengkelkan, seperti babi yang berteriak di tengah malam."";1"
"""Berhentilah bertindak seperti babi yang tidak pernah diajari sopan santun."";1"
"""Bicaralah dengan benar, jangan seperti babi yang hanya mengeluarkan suara."";1"
"""Kamu sama sekali tidak peka, seperti babi yang buta terhadap lingkungan."";1"
"""Kamu mengotori segalanya dengan sikapmu, seperti babi yang berlarian di ladang."";1"
"""Jangan berpura-pura baik, karena kamu terlihat seperti babi yang tersenyum palsu."";1"
"""Kamu membuat semua orang merasa tidak nyaman, seperti babi yang menghalangi jalan."";1"
"""Dia tidak punya rasa malu, seperti babi yang tidak mengenal etika."";1"
"""Kamu berbicara tanpa filter, sama seperti babi yang berisik."";1"
"""Jangan berbohong, semua orang tahu kamu seperti babi yang menyembunyikan sesuatu."";1"
"""Kamu benar-benar tidak tahu cara bergaul, seperti babi yang terasing."";1"
"""Tingkah lakumu sangat konyol, seperti babi yang terjatuh."";1"
"""Berhenti mengganggu orang lain, seperti babi yang merusak suasana."";1"
"""Dia selalu ingin perhatian, seperti babi yang berteriak di tengah keramaian."";1"
"""Kamu sangat tidak sopan, mirip dengan babi yang tidak tahu cara berbicara."";1"
"""Kamu lebih baik pergi, sebelum aku melihatmu seperti babi."";1"
"""Sikapmu sangat menjengkelkan, sama seperti babi yang tidak mau diam."";1"
"""Jangan berharap dihormati, ketika kamu bertindak seperti babi."";1"
"""Kelakuanmu membuatku muak, seperti melihat babi makan dengan rakus."";1"
"""Kamu memperlakukan orang lain seperti babi yang tidak peduli."";1"
"""Dia lebih baik bersembunyi, seperti babi yang takut akan predator."";1"
"""Setiap ucapanmu seperti suara babi yang tidak enak didengar."";1"
"""Kamu terus-menerus mengeluh, sama seperti babi yang tak pernah puas."";1"
"""Mata kamu sangat kosong, seperti babi yang tidak memahami apapun."";1"
"""Kamu seharusnya belajar etika, bukan seperti babi yang hanya tahu melulu."";1"
"""Dia bertindak dengan cara yang sangat memalukan, seperti babi yang tidak punya harga diri."";1"
"""Kamu sangat egois, tidak beda dengan babi yang mengabaikan sekitarnya."";1"
"""Kamu tidak bisa dipercaya, mirip babi yang selalu mencari keuntungan sendiri."";1"
"""Sikapmu seperti babi yang tidak tahu malu."";1"
"""Berhentilah mengganggu, kamu terlihat seperti babi yang tidak punya tempat."";1"
"""Kamu berbicara dengan cara yang sangat menjengkelkan, seperti babi yang berteriak tanpa henti."";1"
"""Jangan bersikap sombong, kamu tidak lebih baik dari babi."";1"
"""Kamu tidak bisa berpura-pura baik, seperti babi yang hanya ingin makan."";1"
"""Dia tidak pernah memperhatikan orang lain, sama seperti babi yang egois."";1"
"""Kamu bersikap seolah-olah kamu raja, padahal hanya babi yang lapar."";1"
"""Hidupmu tidak berarti, seperti babi yang hanya menunggu makanan."";1"
"""Kamu harus berhenti mempermalukan dirimu sendiri, seperti babi yang terlihat konyol."";1"
"""Dia lebih memilih menjadi babi yang hidup dalam kotoran."";1"
"""Kamu tidak pantas mendapatkan cinta, seperti babi yang hanya menunggu makanan."";1"
"""Kamu sangat mengganggu, seperti babi yang terus menerus berisik."";1"
"""Kamu terlihat bodoh, seperti babi yang tersesat."";1"
"""Jangan coba-coba menilai orang lain, kamu tidak lebih baik dari babi."";1"
"""Kamu bisa berbicara, tapi tidak ada yang peduli, sama seperti babi."";1"
"""Dia berlari tanpa arah, mirip babi yang tidak tahu harus kemana."";1"
"""Kamu menghabiskan waktu untuk omong kosong, seperti babi yang tak ada tujuan."";1"
"""Setiap kali kamu muncul, suasana jadi hancur, seperti babi yang merusak pesta."";1"
"""Jangan harap orang menghargai kamu, ketika kamu bertindak seperti babi."";1"
"""Kamu bersembunyi di balik topeng baik, tapi semua tahu kamu seperti babi."";1"
"""Sikapmu sama sekali tidak menarik, mirip babi yang hanya tahu makan."";1"
"""Dia tidak tahu kapan harus berhenti, seperti babi yang terus makan."";1"
"""Kamu adalah orang yang paling egois, mirip babi yang selalu ingin lebih."";1"
"""Berbicara denganmu seperti berbicara dengan babi yang tidak memahami."";1"
"""Jangan berpura-pura peduli, kamu lebih mirip babi yang egois."";1"
"""Kamu hanya membuat dirimu terlihat bodoh, seperti babi yang terjebak."";1"
"""Kamu mengabaikan semua orang, seperti babi yang tidak peka."";1"
"""Hidupmu sangat membosankan, mirip babi yang tidak punya hobi."";1"
"""Jangan merasa istimewa, kamu sama sekali tidak lebih baik dari babi."";1"
"""Kamu mengeluh setiap saat, seperti babi yang tidak pernah puas."";1"
"""Kamu tidak punya perasaan, mirip babi yang tidak mengerti emosi."";1"
"""Tindakanku adalah bukti bahwa kamu tidak lebih dari babi."";1"
"""Jangan berpura-pura menjadi pahlawan, kamu hanya babi yang egois."";1"
"""Kamu hanya mencari perhatian, seperti babi yang berteriak di pasar."";1"
"""Sikapmu tidak membuat siapa pun terkesan, seperti babi yang terlihat konyol."";1"
"""Kamu sangat jahat, sama seperti babi yang mengganggu petani."";1"
"""Tindakanmu membuat semua orang kesal, seperti babi yang merusak makanan."";1"
"""Jangan berusaha untuk mendapatkan simpati, kamu tidak lebih dari babi."";1"
"""Kamu sangat berisik, sama seperti babi yang tidak tahu diam."";1"
"""Kelakuanmu sangat konyol, seperti babi yang bertindak ceroboh."";1"
"""Kamu tidak tahu batasan, seperti babi yang terus melanggar aturan."";1"
"""Kamu tidak lebih dari sekadar gangguan, seperti babi yang menghalangi jalan."";1"
"""Kamu tidak pantas untuk berbicara, seperti babi yang hanya mengeluarkan suara."";1"
"""Sikapmu sama sekali tidak menarik, seperti babi yang terlihat kotor."";1"
"""Berhenti mengeluh, kamu tidak lebih baik dari babi yang kelaparan."";1"
"""Kamu harus menyadari bahwa semua orang merasa muak denganmu, seperti babi yang tidak disukai."";1"
"""Tindakanmu menunjukkan bahwa kamu tidak menghargai orang lain, seperti babi yang egois."";1"
"""Berhenti berpura-pura, semua orang tahu kamu adalah babi yang hanya peduli pada diri sendiri."";1"
"""Kamu harus belajar untuk bersikap baik, jika tidak, kamu akan selalu terlihat seperti babi."";1"
